corpus,sector,target_label,energy_mev,subentry,category,reason
kduq,neutron_elastic,208Pb,23.0,12962006,subentry-withdrawn,subentry not present in entry 12962 for this quantity
kduq,neutron_elastic,208Pb,55.0,22480006,subentry-withdrawn,subentry not present in entry 22480 for this quantity
kduq,neutron_elastic,208Pb,65.0,22480006,subentry-withdrawn,subentry not present in entry 22480 for this quantity
kduq,neutron_elastic,208Pb,75.0,22480006,subentry-withdrawn,subentry not present in entry 22480 for this quantity
kduq,neutron_elastic,208Pb,84.0,11472004,subentry-withdrawn,subentry not present in entry 11472 for this quantity
kduq,neutron_elastic,208Pb,96.0,21123008,subentry-withdrawn,subentry not present in entry 21123 for this quantity
kduq,neutron_elastic,208Pb,136.0,21374010,subentry-withdrawn,subentry not present in entry 21374 for this quantity
kduq,neutron_elastic,27Al,7.62,22532002,uncertainty-unresolved,uncertainty unresolved (no-uncertainty): subentry reports no uncertainty on the observable
kduq,neutron_elastic,27Al,96.0,21123003,x4i3-parse-failure,parse failed: list index out of range
kduq,neutron_elastic,40Ca,2.06,11618009,subentry-withdrawn,subentry not present in entry 11618 for this quantity
kduq,neutron_elastic,40Ca,3.29,11618009,subentry-withdrawn,subentry not present in entry 11618 for this quantity
kduq,neutron_elastic,40Ca,5.3,11618009,subentry-withdrawn,subentry not present in entry 11618 for this quantity
kduq,neutron_elastic,40Ca,5.88,11618009,subentry-withdrawn,subentry not present in entry 11618 for this quantity
kduq,neutron_elastic,40Ca,6.52,11618009,subentry-withdrawn,subentry not present in entry 11618 for this quantity
kduq,neutron_elastic,40Ca,7.91,11618009,subentry-withdrawn,subentry not present in entry 11618 for this quantity
kduq,neutron_elastic,40Ca,11.01,10633005,subentry-withdrawn,subentry not present in entry 10633 for this quantity
kduq,neutron_elastic,40Ca,19.0,13127002,subentry-withdrawn,subentry not present in entry 13127 for this quantity
kduq,neutron_elastic,40Ca,20.0,10697005,subentry-withdrawn,subentry not present in entry 10697 for this quantity
kduq,neutron_elastic,40Ca,21.6,22048010,subentry-withdrawn,subentry not present in entry 22048 for this quantity
kduq,neutron_elastic,40Ca,26.0,10697005,subentry-withdrawn,subentry not present in entry 10697 for this quantity
kduq,neutron_elastic,40Ca,30.3,12724002,subentry-withdrawn,subentry not present in entry 12724 for this quantity
kduq,neutron_elastic,40Ca,40.0,12724002,subentry-withdrawn,subentry not present in entry 12724 for this quantity
kduq,neutron_elastic,45Sc,2.62,13547002,subentry-withdrawn,subentry not present in entry 13547 for this quantity
kduq,neutron_elastic,45Sc,2.86,13547002,subentry-withdrawn,subentry not present in entry 13547 for this quantity
kduq,neutron_elastic,45Sc,3.83,13547002,subentry-withdrawn,subentry not present in entry 13547 for this quantity
kduq,neutron_elastic,45Sc,5.0,13547003,subentry-withdrawn,subentry not present in entry 13547 for this quantity
kduq,neutron_elastic,45Sc,5.9,13547003,subentry-withdrawn,subentry not present in entry 13547 for this quantity
kduq,neutron_elastic,45Sc,6.5,13547003,subentry-withdrawn,subentry not present in entry 13547 for this quantity
kduq,neutron_elastic,45Sc,7.14,13547003,subentry-withdrawn,subentry not present in entry 13547 for this quantity
kduq,neutron_elastic,45Sc,8.03,13547003,subentry-withdrawn,subentry not present in entry 13547 for this quantity
kduq,neutron_elastic,45Sc,9.06,13547003,subentry-withdrawn,subentry not present in entry 13547 for this quantity
kduq,neutron_elastic,45Sc,10.0,13547003,subentry-withdrawn,subentry not present in entry 13547 for this quantity
kduq,neutron_elastic,51V,5.44,10110002,subentry-withdrawn,subentry not present in entry 10110 for this quantity
kduq,neutron_elastic,51V,6.44,10110002,subentry-withdrawn,subentry not present in entry 10110 for this quantity
kduq,neutron_elastic,51V,8.56,10110002,subentry-withdrawn,subentry not present in entry 10110 for this quantity
kduq,neutron_elastic,52Cr,3.0,20019063,subentry-withdrawn,subentry not present in entry 20019 for this quantity
kduq,neutron_elastic,52Cr,4.0,20019063,subentry-withdrawn,subentry not present in entry 20019 for this quantity
kduq,neutron_elastic,52Cr,4.34,10413002,subentry-withdrawn,subentry not present in entry 10413 for this quantity
kduq,neutron_elastic,52Cr,4.92,10413002,subentry-withdrawn,subentry not present in entry 10413 for this quantity
kduq,neutron_elastic,52Cr,7.95,22408002,subentry-withdrawn,subentry not present in entry 22408 for this quantity
kduq,neutron_elastic,52Cr,9.0,22408002,subentry-withdrawn,subentry not present in entry 22408 for this quantity
kduq,neutron_elastic,52Cr,9.8,22408002,subentry-withdrawn,subentry not present in entry 22408 for this quantity
kduq,neutron_elastic,52Cr,10.79,22408002,subentry-withdrawn,subentry not present in entry 22408 for this quantity
kduq,neutron_elastic,52Cr,11.44,22408002,subentry-withdrawn,subentry not present in entry 22408 for this quantity
kduq,neutron_elastic,52Cr,12.01,22408002,subentry-withdrawn,subentry not present in entry 22408 for this quantity
kduq,neutron_elastic,52Cr,12.7,22408002,subentry-withdrawn,subentry not present in entry 22408 for this quantity
kduq,neutron_elastic,52Cr,13.65,22408002,subentry-withdrawn,subentry not present in entry 22408 for this quantity
kduq,neutron_elastic,52Cr,14.1,22408002,subentry-withdrawn,subentry not present in entry 22408 for this quantity
kduq,neutron_elastic,52Cr,14.76,22408002,subentry-withdrawn,subentry not present in entry 22408 for this quantity
kduq,neutron_elastic,52Cr,21.6,22048012,subentry-withdrawn,subentry not present in entry 22048 for this quantity
kduq,neutron_elastic,55Mn,11.01,10633007,subentry-withdrawn,subentry not present in entry 10633 for this quantity
kduq,neutron_elastic,56Fe,21.6,22048014,subentry-withdrawn,subentry not present in entry 22048 for this quantity
kduq,neutron_elastic,56Fe,24.8,11490003,subentry-withdrawn,subentry not present in entry 11490 for this quantity
kduq,neutron_elastic,59Co,11.01,10633009,subentry-withdrawn,subentry not present in entry 10633 for this quantity
kduq,neutron_elastic,59Co,23.0,12962004,x4i3-parse-failure,parse failed: Error while parsing 12962004: Attempted to extract error column POL-BM-ERR with incompatible unitsno-dim for data column DATA-CM with units barns/ster
kduq,neutron_elastic,89Y,3.83,12835003,subentry-withdrawn,subentry not present in entry 12835 for this quantity
kduq,neutron_elastic,93Nb,2.55,12797003,subentry-withdrawn,subentry not present in entry 12797 for this quantity
kduq,neutron_elastic,93Nb,2.85,12797003,subentry-withdrawn,subentry not present in entry 12797 for this quantity
kduq,neutron_elastic,93Nb,4.5,12937002,subentry-withdrawn,subentry not present in entry 12937 for this quantity
kduq,neutron_elastic,93Nb,5.0,12937002,subentry-withdrawn,subentry not present in entry 12937 for this quantity
kduq,neutron_elastic,93Nb,5.5,12937002,subentry-withdrawn,subentry not present in entry 12937 for this quantity
kduq,neutron_elastic,93Nb,5.9,12937002,subentry-withdrawn,subentry not present in entry 12937 for this quantity
kduq,neutron_elastic,93Nb,6.5,12937002,subentry-withdrawn,subentry not present in entry 12937 for this quantity
kduq,neutron_elastic,93Nb,7.14,12937002,subentry-withdrawn,subentry not present in entry 12937 for this quantity
kduq,neutron_elastic,93Nb,7.5,12937002,subentry-withdrawn,subentry not present in entry 12937 for this quantity
kduq,neutron_elastic,93Nb,8.03,12937002,subentry-withdrawn,subentry not present in entry 12937 for this quantity
kduq,neutron_elastic,93Nb,8.4,12937002,subentry-withdrawn,subentry not present in entry 12937 for this quantity
kduq,neutron_elastic,93Nb,9.06,12937002,subentry-withdrawn,subentry not present in entry 12937 for this quantity
kduq,neutron_elastic,93Nb,9.941,12995002,subentry-withdrawn,subentry not present in entry 12995 for this quantity
kduq,neutron_elastic,93Nb,11.01,10633011,subentry-withdrawn,subentry not present in entry 10633 for this quantity
kduq,neutron_elastic,93Nb,11.928,12995002,subentry-withdrawn,subentry not present in entry 12995 for this quantity
kduq,neutron_elastic,93Nb,13.915,12995002,subentry-withdrawn,subentry not present in entry 12995 for this quantity
kduq,neutron_elastic,93Nb,16.91,12995002,subentry-withdrawn,subentry not present in entry 12995 for this quantity
kduq,neutron_elastic,93Nb,20.0,13532002,x4i3-parse-failure,retrieval failed: dXS/dA: AttributeError: 'NoneType' object has no attribute 'total_len'
kduq,neutron_elastic,natAg,4.51,13638002,subentry-withdrawn,subentry not present in entry 13638 for this quantity
kduq,neutron_elastic,natAg,5.01,13638002,subentry-withdrawn,subentry not present in entry 13638 for this quantity
kduq,neutron_elastic,natAg,5.51,13638002,subentry-withdrawn,subentry not present in entry 13638 for this quantity
